run_id,allocator,rho,baseline,n_rebalances,root_mean_predicted_volatility,root_mean_realised_volatility,realised_to_predicted_volatility,mean_qlike,beta_mae,beta_rmse,target_violation_count,execution_overshoot_count,drift_overshoot_count,realised_overshoot_count,execution_overshoot_pct,drift_overshoot_pct,realised_overshoot_pct,gross_return_pct,net_return_pct,gross_sharpe,net_sharpe,executed_turnover_l1_annualized,executed_weight_l1_vs_rho50
rho_b2_000,b2,0.0,false,1214,0.06891622741901697,0.0904145965650126,1.3119493035404213,0.4413210003733625,0.18906689082871156,0.2551023257275511,0,126,206,274,0.31134946828016136,0.5090534979423867,0.6779326080756224,14.126666666666667,11.540000000000001,1.5133333333333334,1.26,45.80438984732911,0.6641245578271698
rho_b3_000,b3,0.0,false,1214,0.07093905381789745,0.09173986741630581,1.2932209055368098,0.503729830196011,0.18949352234911743,0.255167581471276,0,179,220,273,0.4424275760909424,0.5445157478710834,0.676286517540643,14.596666666666666,12.776666666666666,1.54,1.36,31.931671169986057,0.7851159602820283
rho_b2_010,b2,0.1,false,1214,0.06932638999662934,0.08772925577602787,1.2654525322938823,0.3773592354104503,0.18474412827986744,0.24966831420662405,0,141,217,259,0.3484211384101373,0.5370594466854093,0.6416880576946583,14.036666666666667,11.5,1.55,1.29,44.95260568946208,0.521960454887921
rho_b3_010,b3,0.1,false,1214,0.07129348472051963,0.08846740907390727,1.2408905164435684,0.4292976682525833,0.18336995018545035,0.24766550832009296,0,194,229,259,0.47948498553559055,0.5659251110296215,0.6417002811392251,14.476666666666667,12.719999999999999,1.58,1.4033333333333333,30.8888155378549,0.6104068391797465
rho_b2_020,b2,0.2,false,1214,0.0696059479912534,0.08578176853736377,1.2323913546604237,0.3428559738767272,0.1816748610609872,0.2453712449224388,0,159,227,247,0.39289002974371506,0.5617752515992339,0.6103858534001548,13.973333333333334,11.476666666666667,1.5766666666666669,1.3166666666666667,44.19436415737389,0.3825080242978258
rho_b3_020,b3,0.2,false,1214,0.07146462661746647,0.08617292680393103,1.205812314184396,0.39087891817213505,0.17956329203493637,0.24238479345092015,0,204,236,244,0.5050075377908162,0.5848551521818849,0.604628611009249,14.273333333333333,12.57,1.6000000000000003,1.4233333333333331,29.996841626484393,0.44389505897783016
rho_b2_030,b2,0.3,false,1214,0.06978394707560452,0.0846044486058305,1.2123769455770297,0.3272406713433018,0.17947138525103645,0.24233114048207757,0,177,234,237,0.4373629955588152,0.5782443059120727,0.5864930937538199,13.93,11.473333333333334,1.5933333333333335,1.3333333333333333,43.523759377290624,0.24934826431207643
rho_b3_030,b3,0.3,false,1214,0.07157344234942359,0.0847439565067164,1.1840139823510791,0.371582784089465,0.17640355695917684,0.2387543094534482,0,216,240,232,0.5354765106140243,0.5930937538198264,0.5741413030191908,14.049999999999999,12.393333333333333,1.6033333333333335,1.4266666666666665,29.26555756981187,0.28821494301843437
rho_b2_040,b2,0.4,false,1214,0.06989614382478665,0.08412650216084212,1.2035928959361144,0.32374481994978543,0.17874267580162662,0.2411909382502246,0,190,238,231,0.4703214765921036,0.5881249236034715,0.5724992869657336,13.963333333333333,11.536666666666667,1.6033333333333333,1.3466666666666667,42.96562015513003,0.12245565630386412
rho_b3_040,b3,0.4,false,1214,0.0716282813960816,0.08413821738056865,1.174650790730425,0.3650117723775617,0.17520461637063425,0.23765370208066516,0,223,246,231,0.5527604612313083,0.6095628081326652,0.5716721672167216,13.963333333333333,12.336666666666666,1.6033333333333335,1.4333333333333333,28.662674169306985,0.14205971073686544
b2_n75_baseline,b2,0.5,true,1214,0.06995927836704727,0.08436614809400204,1.2059322231908671,0.3293055317259759,0.17957420528522308,0.24223035311673735,0,196,241,234,0.48431935786171215,0.5963675997229353,0.5790816118648902,14.0,11.6,1.5999999999999999,1.3466666666666667,42.52171818772397,0.0
b3_n75_baseline,b3,0.5,true,1214,0.07164850030777035,0.08433974495635506,1.1771320347818686,0.37038724369001247,0.1758353532559966,0.23916430628651333,0,228,246,231,0.5651122519659374,0.6087418001059365,0.5708470847084709,13.913333333333334,12.32,1.5933333333333335,1.4266666666666665,28.191677176817127,0.0
rho_b2_060,b2,0.6,false,1214,0.06999866790998345,0.08546527997159122,1.2209558056375793,0.34621960620996534,0.18222834673402133,0.24568805425867005,0,199,241,237,0.49173491423216403,0.5955465916962067,0.5864930937538197,14.073333333333332,11.69,1.5866666666666667,1.34,42.191638131482556,0.12102229630477564
rho_b3_060,b3,0.6,false,1214,0.07164594689979525,0.0854513929732571,1.1926898404004664,0.3879287434288419,0.17873667370035692,0.24379374680512697,0,233,247,234,0.5758138776840647,0.6103838161593937,0.5799107688546633,13.943333333333333,12.373333333333333,1.5766666666666669,1.4133333333333333,27.82453415380039,0.13973698355564584
rho_b2_070,b2,0.7,false,1214,0.07001904507610339,0.08761793764880911,1.2513443671443614,0.37892233321659435,0.18694715017331398,0.2524132615587949,0,202,240,247,0.4999714786293444,0.594725583669478,0.6112027869453612,14.19,11.816666666666668,1.5633333333333335,1.32,41.985081098356204,0.2454732977947037
rho_b3_070,b3,0.7,false,1214,0.07163134057167454,0.08776936113125663,1.2252927340293784,0.4236727136626055,0.18386329498150658,0.2517141336766658,0,233,247,246,0.5766308112292711,0.6120319439351343,0.6095689198549484,14.013333333333334,12.453333333333333,1.5433333333333332,1.3833333333333335,27.566142073644965,0.2796182782522892
rho_b2_080,b2,0.8,false,1214,0.07003528681113447,0.09145471025343253,1.3058375915566711,0.44342898202981146,0.19464038925662117,0.26386109270927793,0,206,240,264,0.509039237257059,0.5947235464287169,0.6523917206535469,14.4,12.023333333333333,1.5200000000000002,1.2866666666666668,41.933662619114806,0.3821003032291183
rho_b3_080,b3,0.8,false,1214,0.07162033503188955,0.09190676699813258,1.283249610005459,0.49312547778822285,0.19239049539169373,0.2643176922251064,0,235,246,263,0.5823982398239824,0.6095546591696207,0.6499225848510778,14.170000000000002,12.613333333333335,1.4933333333333334,1.3433333333333335,27.430803010348313,0.4328660115756553
rho_b2_090,b2,0.9,false,1214,0.0700450364734304,0.09836634819913444,1.404330030386192,0.5854537379098907,0.2076786355760337,0.28403561393423654,0,209,241,285,0.5164527563867498,0.5971967567127083,0.7059304078556004,14.633333333333335,12.243333333333334,1.4366666666666665,1.2266666666666666,42.09387885019152,0.5468465751099741
rho_b3_090,b3,0.9,false,1214,0.07160235873947843,0.09960348468278078,1.3910642950350705,0.654922434242405,0.20729892212552858,0.287276573915397,0,236,245,292,0.5848633011449293,0.6070814488856292,0.7215845658639938,14.306666666666667,12.746666666666668,1.3933333333333333,1.26,27.469566090978986,0.6183391878526054
rho_b2_100,b2,1.0,false,1214,0.07005118532566253,0.11201975520003965,1.599112915495555,0.9622958389205456,0.23175412302049936,0.32189735819125015,0,210,244,318,0.5197490119382309,0.6046123130831602,0.7866458868109033,14.753333333333332,12.33,1.2866666666666668,1.0933333333333335,42.67613704970602,0.770432550625447
rho_b3_100,b3,1.0,false,1214,0.07160445679088256,0.11576117342747923,1.6166755341159038,1.1289646977651013,0.23680835252659418,0.33159907839354785,0,237,246,329,0.5865114289206699,0.6087275394206088,0.8146538727946869,14.159999999999998,12.58,1.2033333333333334,1.0833333333333333,27.891156558772668,0.8777255768456724
