schedules,sleeves,start,end,days,gross_cagr,net_cagr,net_arithmetic,volatility,sharpe,drawdown,arithmetic_cost,period
1,1,1998-09-22,2021-12-31,5860,13.538033529115534,11.954298872936352,11.640983601582015,8.319794132315462,1.3991913040692323,-15.21314045227703,1.4058308069153511,development
2,1,1998-09-22,2021-12-31,5860,14.050980488631627,12.450594969480889,12.097176892270786,8.480003674501289,1.4265532606602584,-19.69941606498714,1.4133986047838838,development
3,1,1998-09-22,2021-12-31,5860,14.126354649860184,12.527361031496675,12.15736106949553,8.388344185765693,1.449315955600098,-19.28218129009185,1.4116158848609224,development
1+2,2,1998-09-22,2021-12-31,5860,13.8399577247307,12.24746006795523,11.8690802469264,7.9052633379445,1.5014149104883026,-15.951271892155617,1.4096147058496173,development
1+3,2,1998-09-22,2021-12-31,5860,13.877026573105478,12.28513043745425,11.899172335538772,7.863821085577113,1.5131540005866644,-17.07253535788621,1.4087233458881367,development
2+3,2,1998-09-22,2021-12-31,5860,14.137100110103296,12.537046323751477,12.127268980883159,7.9119042274797335,1.5327876364785313,-17.616353306106404,1.4125072448224032,development
1+2+3,3,1998-09-22,2021-12-31,5860,13.966777745940684,12.37181307012123,11.965173854449443,7.718884786674369,1.5501169126278098,-15.534518414135977,1.4102817655200524,development
1,1,2022-01-03,2026-05-27,1103,9.991070872643238,8.62790766863153,8.718992225757075,9.40566459498853,0.9269937427284701,-9.162060080981483,1.2470382281390788,later
2,1,2022-01-03,2026-05-27,1103,11.258686301055242,9.912608121668542,9.892767391579156,9.379234016501645,1.0547521657071368,-9.075963529358477,1.2172972181499224,later
3,1,2022-01-03,2026-05-27,1103,6.741618872968558,5.424328027957115,5.703093122215594,9.171152346160568,0.621851312349331,-8.922200384771239,1.2428816189085445,later
1+2,2,2022-01-03,2026-05-27,1103,10.661407983135064,9.306386003700773,9.305879808668116,9.01450639389745,1.0323227253982445,-9.113904451163856,1.2321677231445003,later
1+3,2,2022-01-03,2026-05-27,1103,8.389761200407175,7.049440696301579,7.211042673986334,8.927228754077323,0.8077582498032039,-8.711258631424812,1.2449599235238116,later
2+3,2,2022-01-03,2026-05-27,1103,9.012079838265352,7.680372107322508,7.7979302568973745,8.916097405550557,0.8745900703196571,-8.66849480922458,1.2300894185292337,later
1+2+3,3,2022-01-03,2026-05-27,1103,9.362367584460408,8.019961028195578,8.104950913183941,8.82715214065119,0.9181841191859225,-8.830210568494856,1.2357390217325153,later
